customer_id,first_name,last_name,email,phone,address,city,state,zip_code,registration_date
CUST10000,TAMMY,Hall,melissa.hicks@example.com,001-462-201-4827x616,120 Whitaker Alley Suite 835,HARMONLAND,MH,53212,2023-09-24
CUST10001,KELLY,Nelson,chad.phillips@example.com,668-864-2872,319 Chavez Mountains,BELLFORT,PA,64030,2023-12-18
CUST10002,Glenn,hILL,kimberly.smith@example.com,+1-785-884-5716,221 John Pines,West Andrew,ND,74105,2022-04-25
CUST10003,robin,wILLIAMS,jennifer.jackson@example.com,681.656.5968x0488,433 Herman Shores Apt. 143,LAKE DONNA,GU,65313,2022-07-21
CUST10004,kara,jackson,mrs..cassandra@example.com,985.890.0703,180 Heather Route,lake lisa,MI,85299,2021-09-25
CUST10005,rachel,williams,kevin.ward@example.com,001-420-488-5460x9952,93766 Carter Islands Suite 976,lynchburgh,IN,89535,2021-01-18
CUST10006,RUSSELL,sANCHEZ,darrell.mora@example.com,(841)283-5200x8241,755 Strickland Unions,Perezview ,AS,94156,2022-07-27
CUST10007,Belinda ,Hall,jeremiah.williams@example.com,635-570-5672x08910,48145 April Mission Apt. 119,West Jessica ,IL,39189,2020-10-06
CUST10008,SUSAN,Hicks,robert.griffin@example.com,(256)390-5307x64245,4037 Devin Motorway Suite 899,clarkmouth,OR,66432,2022-09-15
CUST10009,Matthew ,DAVIS,kelly.martin@example.com,376-762-2882,2431 Destiny Extension Suite 360,SOUTH AMBERSHIRE,AL,23870,2022-06-14
CUST10010,dONALD,WILLIAMSON,,+1-788-745-5075,2368 Lawrence Junction Apt. 919,lAKE rOBERT+,MS,38514,2023-02-30
CUST10011,SARAH,mILLER,cynthia.white@example.com,,72148 Ochoa Bridge,Smithtown,AL,47344,2021-09-14
CUST10012,MADISON,Nolan,steven.thompson@example.com,755-844-6168,14245 Dawson Walks Apt. 172,South Meganburgh,HI,90776,2023-05-28
CUST10013,CHARLES,Campos ,kristina.hunt@example.com,+1-526-814-6887x44250,655 Stephanie Hills Suite 647,Laurafort ,MT,88160,2024-09-27
CUST10014,nicole,Cook ,mr..bruce@example.com,600-895-5373,40842 Palmer Mill,Adkinston,ND,27732,2022-07-16
CUST10015,ashley,King,brian.steele@example.com,(960)202-9777x515,834 Molly Terrace,williamshaven,ND,39576,2023-04-22
CUST10016,Wendy ,jimenez,sara.thomas@example.com,(464)320-0977,2966 Smith Meadow,Lake Maria ,RI,22339,2021-12-31
CUST10017,Christopher ,SKINNER,stephanie.miller@example.com,+1-420-628-1243x44466,69450 Hoffman Prairie Apt. 924,lloydchester,WI,98420,2024-04-26
CUST10018,CHASE,HILL,peter.brown@example.com,735-366-1517,,nEW nANCYBURGH,NC,23062,2023-09-26
CUST10019,Steven ,tURNER,timothy.lee@example.com,568-558-6525,2900 Martin Trace,nORTH dAVID,WI,12973,2023-11-07
CUST10020,austin,ramirez,kim.manning@example.com,+1-472-934-3324x67414,68992 Zamora Mountain,nORTH bRANDON,NY,05306,2022-08-20
CUST10021,Ryan ,thomas,vanessa.rogers@example.com,001-352-382-1925x04811,77123 Davis Road Suite 011,nEW kEVINVILLE,PR,31391,2022-05-14
CUST10022,bARBARA,FULLER,natasha.duarte@example.com,(433)959-6154,27122 Morgan Mews Apt. 229,Jenniferbury,VI,36611,2021-03-05
CUST10023,bradley,cohen,daniel.parks@example.com,,263 Briana Rue Apt. 041,richport,CO,70486,2024-12-28
CUST10024,jULIE,garza,tina.weiss@example.com,(764)335-9265x68725,0159 Jamie Land,williamston,DC,72589,2024-10-06
CUST10025,Lisa ,Fox,christian.foster@example.com,5439968218,743 Jeremy Crest Suite 952,New Jim ,VA,45192,2021-10-19
CUST10026,Adam,smith,kenneth.osborn@example.com,905.872.0102x098,221 Butler Vista,lake ronaldberg.,NH,63849,2022-05-25
