CustomerID,FirstName,LastName,Email,Phone,City,State,Country,SignupDate,LoyaltyPoints
CUST00001,Mary,Boyd,mary.boyd@example.com,+917523753789,Delhi,Karnataka,INDIA,,2801
CUST00002,Michele,Rosales,michele.rosales@example.com,+917997189870,Delhi,Tamil Nadu,india,,3241
CUST00003,Lisa,Davis,lisa.davis@example.com,+919596553051,Mumbai,West Bengal,India,2025-06-11,
CUST00004,Candice,Wilson,candice.wilson@example.com,+919001160672,Pune,Delhi,india,,
CUST00005,Karen,Romero,karen.romero@example.com,+917003103439,Kolkata,Telangana,,,
CUST00006,Katelyn,Macdonald,katelyn.macdonald@example.com,+919471564274,Mumbai,Tamil Nadu,india,,2981
CUST00007,Eric,Day,eric.day@example.com,+918081999991,Chennai,West Bengal,INDIA,,
CUST00008,Denise,Escobar,denise.escobar@example.com,+919918491037,Kolkata,,India,05/04/2025,
CUST00009,Stephen,Chavez,stephen.chavez@example.com,+916121133118,Pune,Delhi,INDIA,2025-07-20,
CUST00010,Alan,Alvarado,alan.alvarado@example.com,+919487407506,,Delhi,India,18/01/2024,
CUST00011,Kimberly,Strickland,kimberly.strickland@example.com,+917982384021,,Delhi,INDIA,,2784
CUST00012,Christopher,Lynch,christopher.lynch@example.com,+917252411137,,Karnataka,,,
CUST00013,Natasha,Webster,natasha.webster@example.com,+917151304246,Mumbai,Karnataka,INDIA,2025-06-21,3873
CUST00014,Jeffrey,Cabrera,jeffrey.cabrera@example.com,+917191800932,Pune,Delhi,india,,1350
CUST00015,Blake,Burnett,blake.burnett@example.com,+918326401680,Pune,,INDIA,27/04/2021,4562
CUST00016,Mitchell,Smith,mitchell.smith@example.com,+916209222107,Delhi,Karnataka,india,11/08/2024,
CUST00017,Ashley,Williams,ashley.williams@example.com,+917930062491,Hyderabad,Delhi,,,
CUST00018,Scott,Ortega,scott.ortega@example.com,+918441051389,Delhi,,,,
CUST00019,Glenn,Jones,glenn.jones@example.com,+917435604045,Hyderabad,Tamil Nadu,INDIA,,1024
CUST00020,Thomas,Dawson,thomas.dawson@example.com,+919801062852,,West Bengal,,13/04/2024,
CUST00021,Joel,Nash,joel.nash@example.com,+916658056550,Mumbai,,India,14/12/2020,1225
CUST00022,Kelly,Johnson,kelly.johnson@example.com,+916074211117,Kolkata,Tamil Nadu,india,2025-05-08,
CUST00023,Cody,Jones,cody.jones@example.com,+917931872545,Bangalore,Maharashtra,INDIA,20/05/2021,
CUST00024,Carolyn,Jackson,carolyn.jackson@example.com,+918002279646,Bangalore,Tamil Nadu,India,2024-03-17,4998
CUST00025,Erin,Strong,erin.strong@example.com,+919293660131,Delhi,Delhi,,,
CUST00026,Jonathan,Nixon,jonathan.nixon@example.com,+916489212580,Kolkata,Maharashtra,india,02/04/2021,357
CUST00027,,Jackson,george.jackson@example.com,+916149656118,Kolkata,,india,,2888
CUST00028,Molly,Gibson,molly.gibson@example.com,+919866645312,Kolkata,West Bengal,INDIA,02/01/2023,
CUST00029,Gloria,,gloria.thomas@example.com,+917071751662,Chennai,Tamil Nadu,,20/11/2023,
