SaleID,CustomerID,ProductID,Quantity,TotalAmount,SaleDate,PaymentMethod,StoreLocation,SalesPerson,DeliveryStatus
SALE00001,CUST09201,PROD0447,1,1899.2,2023-11-04,Debit Card,,,
SALE00002,CUST00060,PROD0169,,,13-06-2024,Debit Card,Online,Tamara Richard,Delivered
SALE00003,CUST09279,PROD0528,0,,,Debit Card,In-Store,Lisa Lewis,Cancelled
SALE00004,CUST04330,PROD0746,,,06-12-2023,Debit Card,,Joshua Hull,
SALE00005,CUST04425,PROD0248,5,43388.05,2024-02-05,Cash,In-Store,Karen Brown,Cancelled
SALE00006,CUST05348,PROD0440,,,,,,Cory Cooley,Delivered
SALE00007,CUST08695,PROD0204,0,,2025-06-14,Debit Card,,Elizabeth Brewer,
SALE00008,CUST09894,PROD0221,,,22-10-2023,Debit Card,Online,Jacob Pace,
SALE00009,CUST06839,PROD0092,,,05-06-2025,Cash,,Kristen Bridges,
SALE00010,CUST01343,PROD0159,,,,Debit Card,Online,Lindsey Garrett,Delivered
SALE00011,CUST09457,PROD0093,,,20-12-2024,,Online,Megan Murphy,Pending
SALE00012,CUST08142,PROD0572,,,2024-11-30,Cash,Online,Candice Hampton,
SALE00013,CUST01754,PROD0473,,,31-05-2025,Cash,In-Store,Andrea Young,Delivered
SALE00014,CUST09266,PROD0577,3,22778.91,2024-12-17,,Online,Kendra Weber,
SALE00015,CUST01355,PROD0166,,,15-10-2024,,In-Store,Earl Wilson,
SALE00016,CUST02899,PROD0088,1,9205.41,2025-01-31,Debit Card,,Michael Armstrong,Pending
SALE00017,CUST01065,PROD0393,0,,28-04-2024,UPI,In-Store,Jamie Adams,Cancelled
SALE00018,CUST10329,PROD0641,5,37188.95,2025-01-23,,,Kimberly Cabrera MD,
SALE00019,CUST04958,PROD0092,,,27-03-2025,UPI,,Brian Love,
SALE00020,CUST10967,PROD0552,1,1591.7,13-12-2024,Cash,In-Store,Joseph Kaufman,Cancelled
SALE00021,CUST02637,PROD0358,,,13-05-2024,Credit Card,,,Cancelled
SALE00022,CUST07225,PROD0697,0,,22-05-2025,,,Melissa Weber,
SALE00023,CUST05346,PROD0255,,,2023-11-13,,,Benjamin Johnson,
SALE00024,CUST07642,PROD0471,,,23-07-2025,Credit Card,,Dennis Jones,Delivered
SALE00025,CUST11995,PROD0401,1,6027.5,,UPI,In-Store,Stephen Hess,
SALE00026,CUST04690,PROD0044,4,6698.28,,Debit Card,,Jose Martinez,
SALE00027,CUST10135,PROD0282,,,29-10-2024,Debit Card,In-Store,Teresa Baker,
SALE00028,CUST08825,PROD0400,,,,UPI,In-Store,Meghan Gordon,Cancelled
SALE00029,CUST00977,PROD0308,,,29-07-2025,UPI,Online,,
SALE00030,CUST10957,PROD0774,,,,,Online,David Cole,Delivered
SALE00031,CUST01222,PROD0109,,,09-07-2024,Debit Card,,Matthew Schmidt,
SALE00032,CUST04580,PROD0001,3,27972.6,14-04-2025,,,Joshua Walsh,Delivered
SALE00033,CUST05080,PROD0682,,,2025-05-16,Credit Card,In-Store,Brianna Mason,Delivered
SALE00034,CUST01538,PROD0353,,,2025-03-07,Debit Card,,Sara Daugherty,Cancelled
SALE00035,CUST09368,PROD0562,3,17820.12,,UPI,,Lauren Middleton,
SALE00036,CUST08831,PROD0672,,,27-10-2024,UPI,In-Store,Leah Robbins,Cancelled
SALE00037,CUST03615,PROD0600,,,,UPI,,William Green,Cancelled
SALE00038,CUST04527,PROD0298,0,,2023-10-07,,In-Store,Brett Peterson,Delivered
SALE00039,CUST06046,PROD0474,1,3805.23,19-04-2024,Debit Card,,Leonard Clark,
SALE00040,CUST09398,PROD0506,,,,,,,Delivered
SALE00041,CUST07024,PROD0422,,,03-11-2024,,In-Store,Dana Wallace,Delivered
SALE00042,CUST05049,PROD0316,0,,06-03-2025,Credit Card,,Alexander Sparks,
SALE00043,CUST00920,PROD0403,,,,UPI,,Robert Campbell,Delivered
SALE00044,CUST05588,PROD0098,4,13473.44,,,,Alison Strickland,
SALE00045,CUST04015,PROD0488,,,30-08-2023,UPI,Online,Christopher Keith,
SALE00046,CUST09860,PROD0303,,,,Cash,,David Ortega,Pending
SALE00047,CUST04021,PROD0074,3,11089.62,25-01-2024,Credit Card,,Elizabeth Davis,Cancelled
SALE00048,CUST07728,PROD0719,,,2025-01-08,Credit Card,Online,Sydney Shelton,Cancelled
SALE00049,CUST07339,PROD0303,0,,,Cash,In-Store,Dennis Franklin,
SALE00050,CUST11234,PROD0155,3,19304.91,02-09-2024,,,Edgar Bass,Delivered
SALE00051,CUST02105,PROD0701,,,2025-05-06,Cash,,Carolyn Pennington,Delivered
SALE00052,CUST06714,PROD0368,,,2024-01-31,Debit Card,,James Adkins,
SALE00053,CUST09874,PROD0545,3,29042.25,,UPI,In-Store,Scott Carson,
SALE00054,CUST04986,PROD0415,5,25322.75,14-07-2025,UPI,,Nicholas Sullivan,Delivered
SALE00055,CUST08996,PROD0749,,,19-10-2023,Credit Card,Online,Luis Collins,Cancelled
SALE00056,CUST09703,PROD0032,5,18809.75,22-05-2025,Cash,Online,Mrs. Michelle Baker,Pending
SALE00057,CUST10920,PROD0209,1,344.85,,,,Jeffrey Harris,
SALE00058,CUST09869,PROD0317,3,1721.19,,,In-Store,Donald Patel,
SALE00059,CUST07970,PROD0701,3,26480.7,,,,Regina Prince,Delivered
SALE00060,CUST05644,PROD0300,,,2024-08-11,Debit Card,In-Store,Jessica Rodriguez,
SALE00061,CUST11374,PROD0390,0,,02-12-2023,UPI,,Melinda Garrett,
SALE00062,CUST07427,PROD0458,1,821.46,2025-01-15,,In-Store,Priscilla Jackson,
SALE00063,CUST04138,PROD0601,,,11-11-2024,,,Jeremy Russell,
SALE00064,CUST00374,PROD0013,,,,,,Anthony Burton,Delivered
SALE00065,CUST11685,PROD0220,1,6282.51,2024-11-20,UPI,,Tammy Rivera,Cancelled
SALE00066,CUST02265,PROD0386,,,12-12-2023,,,Anthony Hayes,
SALE00067,CUST05879,PROD0793,5,42926.85,2025-05-11,UPI,,Mary Oconnor,
SALE00068,CUST03194,PROD0495,,,,Debit Card,In-Store,Lisa Lucero,Cancelled
SALE00069,CUST05409,PROD0384,,,2024-09-06,Debit Card,,David Carter,Pending
SALE00070,CUST11827,PROD0233,0,,,UPI,Online,Linda Martinez,Pending
SALE00071,CUST08497,PROD0493,0,,,Debit Card,Online,Kevin Ortega,Pending
SALE00072,CUST02958,PROD0703,0,,,,In-Store,Mark Thomas,
SALE00073,CUST00278,PROD0028,0,,,Credit Card,,Jonathon Simpson,Cancelled
SALE00074,CUST00886,PROD0637,0,,,Debit Card,,Matthew Barnes,
SALE00075,CUST07907,PROD0746,2,11616.42,,Cash,,Raymond Jacobs,Delivered
SALE00076,CUST08701,PROD0368,,,2024-08-08,UPI,In-Store,Nicolas Davis,
SALE00077,CUST00847,PROD0726,,,2024-11-14,Cash,Online,David Reynolds,
SALE00078,CUST03892,PROD0501,0,,2025-01-24,,,Julie Rodriguez,
SALE00079,CUST00317,PROD0746,5,29041.05,,Debit Card,,Lisa Morales,Cancelled
SALE00080,CUST00471,PROD0747,3,8616.78,19-01-2024,,,Sarah Davis,
SALE00081,CUST09381,PROD0293,,,2025-05-22,Debit Card,,Marcus Cantrell,Delivered
SALE00082,CUST01786,PROD0173,,,,UPI,Online,Todd Gilbert,
SALE00083,CUST04451,PROD0060,,,,Debit Card,Online,Mark Taylor,
SALE00084,CUST06741,PROD0687,,,2025-04-14,Credit Card,,Diane Bennett,Cancelled
SALE00085,CUST03360,PROD0305,0,,,Cash,,Cheryl Thompson,
SALE00086,CUST02593,PROD0163,,,,UPI,,Melissa Lyons,Delivered
SALE00087,CUST02059,PROD0150,0,,06-02-2024,,,Robin Gomez,
SALE00088,CUST00414,PROD0537,1,7849.86,25-12-2023,Debit Card,Online,Kathryn Miller,
SALE00089,CUST09619,PROD0616,0,,2025-01-27,Credit Card,Online,Jordan Rojas,
